name,artist,danceability,key,mode,instrumentalness,duration,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
house of sleep,amorphis,0.428,7,0,0.114,1.602398181,0.864,-6.371,0.0599,0.00309,0.568277173,0.147,0.365,0,1
hearts burst into fire,bulletformyvalentine,0.24,0,0,0.000106,1.79222071,0.968,-3.669,0.109,0.000996,0.407676608,0.119,0.119,0.251256281,1
emotion,destinyschild,0.412,7,1,0,1.507751329,0.577,-4.944,0.119,0.163,0.789456937,0.0969,0.345,0.246231156,1
am i wry no,mew,0.536,5,1,0.437,1.777118901,0.919,-4.374,0.0575,0.00491,0.593627979,0.139,0.531,0.190954774,1
special,mew,0.528,7,0,0.00145,1.267777971,0.913,-5.378,0.0333,0.000101,0.54918111,0.458,0.465,0.070351759,1
jesus he knows me  2007 digital remaster,genesis,0.479,1,1,4.44E-06,1.605255642,0.886,-7.274,0.0488,0.49,0.431531912,0.147,0.569,0.306532663,1
i think im paranoid,garbage,0.553,0,1,0.047,1.409504281,0.814,-6.036,0.0365,0.000352,0.517575559,0.563,0.465,0,1
we never change,coldplay,0.434,6,0,0.000164,1.573500379,0.286,-10.803,0.0296,0.533,0.622401622,0.105,0.122,0.306532663,1
beast of burden  remastered,therollingstones,0.814,1,0,0.014,1.34908026,0.689,-8.831,0.0315,0.386,0.458246399,0.0273,0.866,0,1
ruido  en directo,joaquínsabina,0.693,2,0,0,1.879659381,0.749,-7.224,0.145,0.331,0.396180788,0.922,0.812,0.206030151,1
here comes the rain again  remastered version,eurythmics,0.648,0,1,0.000253,1.777118901,0.755,-7.901,0.03,0.0139,0.574295546,0.225,0.607,0.231155779,1
stranger things have happened,foofighters,0.71,6,0,7.92E-06,1.884365908,0.304,-10.756,0.0332,0.702,0.445636907,0.0903,0.312,0,1
its all coming back to me now,meatloaf,0.252,6,1,1.37E-06,2.046551949,0.476,-8.384,0.0357,0.665,0.740028092,0.128,0.263,0,1
god is a dj,faithless,0.606,10,0,0.894,1.359337182,0.901,-7.468,0.0453,0.186,0.593446155,0.16,0.391,0,1
cherry blossom girl,air,0.436,1,0,0.955,1.419322254,0.76,-7.906,0.0374,0.362,0.340974486,0.13,0.504,0.27638191,1
songbird,fleetwoodmac,0.584,5,1,0.00303,1.314324914,0.0605,-17.338,0.0318,0.987,0.421017942,0.0827,0.386,0,1
the zookeepers boy,mew,0.54,5,0,2.67E-06,1.728221566,0.796,-6.915,0.0312,0.000118,0.549349298,0.16,0.557,0.075376884,1
you dont love me,thekooks,0.321,11,0,0,1.016167848,0.933,-4.033,0.0539,0.0037,0.756978631,0.108,0.718,0.24120603,1
rootless tree,damienrice,0.475,11,1,0.0118,1.6363121,0.691,-6.96,0.0326,0.348,0.379480256,0.107,0.347,0.130653266,1
a san fernando un ratito a pie y otro caminando,manologarcia,0.56,6,0,2.40E-06,1.461079747,0.918,-4.399,0.0735,0.132,0.614796834,0.435,0.743,0.291457286,1
hate my life,theoryofadeadman,0.506,1,1,0,1.249442223,0.85,-4.039,0.0346,0.0208,0.572140932,0.244,0.462,0.251256281,1
girl all the bad guys want  kerrang radio session,bowlingforsoup,0.662,2,1,0,1.34908026,0.591,-7.826,0.0552,0.362,0.624774425,0.903,0.864,0.090452261,1
nobody,skindred,0.628,10,0,0,1.504688059,0.909,-4.635,0.0549,0.0192,0.444782334,0.44,0.751,0.301507538,1
serve the servants,nirvana,0.422,10,1,0.0272,1.406216049,0.922,-8.309,0.0449,3.67E-06,0.544712786,0.203,0.577,0,1
private investigations  edit,direstraits,0.612,4,0,0.507,1.99735625,0.149,-17.754,0.0323,0.702,0.384839518,0.0757,0.0775,0,1
brothers of metal part 1,manowar,0.564,4,0,0.0597,1.498541268,0.92,-6.384,0.0641,5.75E-05,0.746882855,0.102,0.52,0,1
woman in love,barbrastreisand,0.484,3,0,9.58E-05,1.479936564,0.469,-7.35,0.0257,0.489,0.771288177,0.291,0.307,0.261306533,1
are you still having fun,eagleeyecherry,0.445,8,0,0.000608,1.234592906,0.936,-5.174,0.0447,0.00183,0.645102344,0.146,0.703,0,1
lets get it on,marvingaye,0.55,3,1,0,1.761856865,0.611,-10.657,0.0443,0.0392,0.765988009,0.0631,0.626,0,1
atlantis to interzone,klaxons,0.207,9,0,4.87E-06,1.285869457,0.934,-3.269,0.208,0.000174,0.659157337,0.405,0.539,0,1
how do you sleep,jessemccartney,0.739,8,1,0,1.432305332,0.851,-3.798,0.0253,0.327,0.481724419,0.115,0.694,0.125628141,1
desire,u2,0.484,8,1,0.01,1.177406997,0.916,-4.573,0.0481,0.000311,0.493474792,0.0861,0.665,0,1
forever,paparoach,0.579,2,0,0,1.558825832,0.567,-5.992,0.0288,0.0193,0.490829254,0.117,0.339,0.251256281,1
kevlarsjäl,kent,0.511,1,0,0,1.652969116,0.728,-5.172,0.0315,0.0233,0.618128759,0.101,0.351,0.206030151,1
youll never walk alone  mono 2002 remaster,gerrythepacemakers,0.484,0,1,0,1.050875771,0.265,-11.101,0.0322,0.394,0.516216425,0.149,0.285,0.291457286,1
jersey girl,tomwaits,0.337,2,1,0.0309,1.848689715,0.246,-18.366,0.031,0.144,0.800398195,0.0843,0.242,0,1
valió la pena  salsa version,marcanthony,0.525,9,0,5.26E-06,1.754164606,0.704,-5.801,0.0501,0.353,0.447536967,0.0743,0.855,0.326633166,1
the past should stay dead,emarosa,0.386,6,1,0,1.685708088,0.941,-2.168,0.0515,0.00055,0.413249513,0.144,0.483,0,1
rainy days and mondays,carpenters,0.351,10,1,0,1.416057344,0.235,-11.513,0.0323,0.852,0.339647171,0.0688,0.218,0,1
